AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
51,Antimony,121.800,Sb,630,1750.0,6.6800000,,8.6084,5,15,Metalloid,1.41,solid,24.40000,205.00,1.070000,23,metalloid,Rhombohedral,,0.045,yes,ceramic glazes
52,Tellurium,127.600,Te,449.5,990.0,6.2500000,1728,9.0096,5,16,Metalloid,1.37,solid,3.30000,201.00,1.970800,24,metalloid,Hexagonal,Franz Muller von Reichenstein,0.24,yes,vulcanization of rubber
53,Iodine,126.900,I,113.5,184.0,4.9300000,1804,10.4513,5,17,Halogen,1.33,solid,0.44900,214.48,3.059100,24,non-metal,Orthorhombic,Bernard Courtois,0.083,yes,disinfectant
54,Xenon,131.300,Xe,-111.9,-108.0,0.0058870,1898,12.1298,5,18,Noble gas,1.90,gas,0.05140,158.31,,26,non-metal,Cubic face centered,Sir William Ramsey,1.2,yes,sun lamps
55,Cesium,132.900,Cs,28.5,678.0,1.9000000,1860,3.8939,6,1,Alkali metal,2.62,liquid,35.90000,230.00,0.471626,19,metal,Cubic body centered,Gustav Kirchoff,11,yes,photoelectric cells
56,Barium,137.300,Ba,725,1140.0,3.5000000,1808,5.2117,6,2,Alkaline earth metal,2.17,solid,18.40000,192.00,0.150000,20,metal,Cubic body centered,Sir Humphrey Davy,0.55,yes,spark plugs
57,Lanthanum,138.900,La,920,3469.0,6.1740000,1839,5.5769,8,4,Lanthanide,1.80,solid,13.40000,197.00,0.500000,19,metal,Hexagonal,Carl Mosander,0.64,yes,camera lenses
58,Cerium,140.100,Ce,795,3257.0,6.7500000,1803,5.5387,8,5,Lanthanide,1.82,solid,11.30000,205.00,,18,metal,Cubic face centered,W. von Hisinger,0.57,yes,lighter flints
59,Praseodymium,140.900,Pr,935,3127.0,6.7920000,1885,5.4730,8,6,Lanthanide,1.83,solid,12.50000,192.00,,16,metal,Hexagonal,C.F. Aver von Welsbach,1.7,yes,ceramic coloring
60,Neodymium,144.500,Nd,1010,3127.0,7.0040000,1925,5.5250,8,7,Lanthanide,1.82,solid,13.00000,205.00,,14,metal,Hexagonal,C.F. Aver von Welsbach,1.1,yes,high strength magnets for disk drives
